Product title,Brand,Model,Total price (LKR),Discount price (if available),RAM,Storage,Processor,Battery capacity,Camera specs,Display size,Operating system,Network type,Warranty,Stock availability,Seller / store name,Posted date,Product URL
Xiaomi Redmi 15 6|128GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi 15 6|128GB|ANDROID (Brand New),51990,,,128GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15-6128gbandroid-brand-new-for-sale-colombo
Samsung Galaxy A56 5G 12GB 256GB (Brand New),Samsung,Samsung Galaxy A56 5G 12GB 256GB (Brand New),103960,,,12GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a56-5g-12gb-256gb-brand-new-for-sale-colombo-104
Xiaomi Redmi 15C 8GB|256GB|ANDROID (Brand New),Xiaomi,Xiaomi Redmi 15C 8GB|256GB|ANDROID (Brand New),57490,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-15c-8gb256gbandroid-brand-new-for-sale-colombo-2
Samsung Galaxy A56 5G 8GB 128GB (Brand New),Samsung,Samsung Galaxy A56 5G 8GB 128GB (Brand New),84960,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a56-5g-8gb-128gb-brand-new-for-sale-colombo-108
Xiaomi Redmi Note 15 Pro 8GB|256GB|5G (Brand New),Xiaomi,Xiaomi Redmi Note 15 Pro 8GB|256GB|5G (Brand New),79490,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-15-pro-8gb256gb5g-brand-new-for-sale-colombo
Apple iPhone 13 Pro 256GB (Used),Apple,Apple iPhone 13 Pro 256GB (Used),144900,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-used-for-sale-kandy-573
Samsung Galaxy A36 5G 8GB 128GB (Brand New),Samsung,Samsung Galaxy A36 5G 8GB 128GB (Brand New),66960,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a36-5g-8gb-128gb-brand-new-for-sale-colombo-98
Samsung Galaxy A07 8GB 256GB (Brand New),Samsung,Samsung Galaxy A07 8GB 256GB (Brand New),37960,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-a07-8gb-256gb-brand-new-for-sale-colombo-191
Xiaomi Redmi Note 15| 8GB|256GB|5G (Brand New),Xiaomi,Xiaomi Redmi Note 15| 8GB|256GB|5G (Brand New),75990,,,8GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/xiaomi-redmi-note-15-8gb256gb5g-brand-new-for-sale-colombo
Apple iPhone 13 Pro Max 256GB (Used),Apple,Apple iPhone 13 Pro Max 256GB (Used),147999,,,256GB,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-13-pro-max-256gb-used-for-sale-colombo-4958
Apple iPhone 17 Pro Max 256gb (Brand New),Apple,Apple iPhone 17 Pro Max 256gb (Brand New),459000,,,256gb,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-17-pro-max-256gb-brand-new-for-sale-kandy-50
Samsung Galaxy F07 4 GB|64 GB|android (Brand New),Samsung,Samsung Galaxy F07 4 GB|64 GB|android (Brand New),29490,,,4 GB,,,,,Android,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/samsung-galaxy-f07-4-gb64-gbandroid-brand-new-for-sale-colombo
Apple iPhone 17 Pro 256gb (Brand New),Apple,Apple iPhone 17 Pro 256gb (Brand New),414000,,,256gb,,,,,iOS,,unknown,In stock,Ikman Seller,Recently,https://ikman.lk/en/ad/apple-iphone-17-pro-256gb-brand-new-for-sale-kandy-12
